index,Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Rings
780,F,0.585,0.455,0.165,0.998,0.345,0.2495,0.315,12
781,M,0.55,0.43,0.16,0.9295,0.317,0.1735,0.355,13
782,M,0.51,0.39,0.125,0.6565,0.262,0.1835,0.175,10
783,I,0.415,0.325,0.1,0.385,0.167,0.08,0.125,7
784,F,0.63,0.48,0.16,1.199,0.5265,0.335,0.315,11
785,M,0.615,0.475,0.15,1.0375,0.476,0.2325,0.283,9
786,F,0.505,0.38,0.135,0.6855,0.361,0.1565,0.161,9
787,F,0.61,0.485,0.18,1.2795,0.5735,0.2855,0.355,7
788,F,0.6,0.475,0.135,1.4405,0.5885,0.191,0.3175,9
789,I,0.36,0.275,0.075,0.2205,0.0985,0.044,0.066,7
790,M,0.695,0.55,0.205,2.173,1.133,0.4665,0.496,10
791,M,0.645,0.505,0.15,1.1605,0.519,0.2615,0.335,10
792,M,0.37,0.28,0.1,0.252,0.1065,0.0595,0.074,8
793,M,0.56,0.43,0.155,0.8675,0.4,0.172,0.229,8
794,F,0.545,0.41,0.14,0.7405,0.3565,0.1775,0.203,9
795,I,0.36,0.26,0.08,0.1795,0.074,0.0315,0.06,5
796,M,0.635,0.525,0.16,1.195,0.5435,0.246,0.335,12
797,F,0.66,0.565,0.195,1.7605,0.692,0.3265,0.5,16
798,M,0.625,0.515,0.165,1.217,0.667,0.2065,0.3115,10
799,F,0.595,0.465,0.15,1.1005,0.5415,0.166,0.265,8
800,M,0.7,0.565,0.18,1.751,0.895,0.3355,0.446,9
801,F,0.465,0.39,0.11,0.6355,0.1815,0.157,0.225,13
802,I,0.52,0.415,0.14,0.6375,0.308,0.1335,0.168,9
803,F,0.71,0.575,0.175,1.555,0.6465,0.3705,0.52,15
804,I,0.385,0.29,0.08,0.2485,0.122,0.0495,0.065,7
805,M,0.62,0.5,0.165,1.307,0.6355,0.2545,0.315,9
806,M,0.45,0.335,0.14,0.478,0.1865,0.115,0.16,11
807,I,0.295,0.215,0.075,0.116,0.037,0.0295,0.04,8
808,I,0.54,0.42,0.14,0.6275,0.2505,0.1175,0.235,9
809,F,0.655,0.515,0.17,1.527,0.8485,0.2635,0.331,11
810,I,0.425,0.34,0.1,0.382,0.164,0.096,0.1,6
811,M,0.6,0.475,0.205,1.176,0.5255,0.2875,0.308,9
812,I,0.575,0.435,0.13,0.805,0.3155,0.2155,0.245,10
813,M,0.45,0.35,0.1,0.3675,0.1465,0.1015,0.12,10
814,F,0.57,0.435,0.15,0.8295,0.3875,0.156,0.245,10
815,M,0.545,0.41,0.12,0.793,0.434,0.1405,0.19,9
816,M,0.615,0.47,0.15,1.0875,0.4975,0.283,0.2685,9
817,I,0.355,0.275,0.085,0.22,0.092,0.06,0.15,8
818,F,0.64,0.475,0.175,1.1545,0.4865,0.341,0.288,9
819,F,0.62,0.48,0.175,1.0405,0.464,0.2225,0.3,9
820,F,0.38,0.29,0.105,0.257,0.099,0.051,0.085,10
821,F,0.735,0.565,0.205,2.1275,0.949,0.46,0.565,12
822,F,0.595,0.46,0.155,1.0455,0.4565,0.24,0.3085,10
823,I,0.375,0.275,0.095,0.2295,0.095,0.0545,0.066,7
824,F,0.675,0.55,0.18,1.6885,0.562,0.3705,0.6,15
825,I,0.5,0.37,0.115,0.5745,0.306,0.112,0.141,7
826,M,0.56,0.465,0.145,0.8875,0.3345,0.22,0.2695,9
827,F,0.575,0.465,0.14,0.958,0.442,0.1815,0.2705,9
828,F,0.485,0.375,0.145,0.5885,0.2385,0.1155,0.19,13
829,I,0.545,0.43,0.15,0.742,0.3525,0.158,0.208,10
830,I,0.505,0.38,0.12,0.594,0.2595,0.1435,0.18,7
831,M,0.645,0.5,0.16,1.3815,0.672,0.326,0.315,9
832,M,0.63,0.515,0.16,1.016,0.4215,0.244,0.355,19
833,M,0.585,0.455,0.225,1.055,0.3815,0.221,0.365,15
834,F,0.49,0.355,0.16,0.8795,0.3485,0.215,0.2825,8
835,M,0.59,0.49,0.135,1.008,0.422,0.2245,0.285,11
836,M,0.64,0.505,0.18,1.297,0.59,0.3125,0.363,11
837,F,0.515,0.435,0.17,0.631,0.2765,0.111,0.216,12
838,M,0.31,0.225,0.08,0.1345,0.054,0.024,0.05,7
839,F,0.585,0.465,0.145,0.9855,0.4325,0.2145,0.2845,10
840,I,0.425,0.31,0.105,0.365,0.159,0.0825,0.105,6
841,I,0.395,0.295,0.095,0.2725,0.115,0.0625,0.085,8
842,M,0.58,0.455,0.17,0.93,0.408,0.259,0.22,9
843,I,0.23,0.18,0.05,0.064,0.0215,0.0135,0.02,5
844,M,0.52,0.4,0.125,0.559,0.254,0.139,0.149,8
845,I,0.395,0.3,0.12,0.2995,0.1265,0.068,0.0895,8
846,F,0.62,0.51,0.18,1.233,0.592,0.274,0.322,10
847,I,0.575,0.44,0.125,0.8515,0.4555,0.1715,0.1965,9
848,M,0.485,0.36,0.13,0.5415,0.2595,0.096,0.16,10
849,M,0.525,0.395,0.13,0.7635,0.3375,0.1425,0.225,8
850,M,0.585,0.455,0.155,1.133,0.5515,0.223,0.305,12
851,F,0.575,0.43,0.155,0.7955,0.3485,0.1925,0.22,9
852,F,0.505,0.41,0.135,0.657,0.291,0.133,0.195,15
853,M,0.57,0.435,0.13,0.7535,0.349,0.1755,0.194,10
854,M,0.5,0.39,0.125,0.5215,0.2485,0.117,0.131,6
855,I,0.43,0.34,0.12,0.3575,0.151,0.0645,0.1045,9
856,M,0.37,0.29,0.09,0.241,0.11,0.045,0.069,10
857,I,0.495,0.38,0.135,0.5095,0.2065,0.1165,0.165,8
858,I,0.385,0.3,0.1,0.2895,0.1215,0.063,0.09,7
859,F,0.635,0.485,0.155,1.073,0.467,0.1975,0.35,11
860,M,0.51,0.405,0.15,0.7035,0.347,0.134,0.1885,8
861,M,0.645,0.51,0.165,1.403,0.5755,0.2515,0.4545,11
862,F,0.55,0.45,0.145,0.741,0.295,0.1435,0.2665,10
863,F,0.5,0.385,0.105,0.498,0.1795,0.1095,0.17,17
864,F,0.605,0.485,0.16,1.0565,0.37,0.2355,0.355,10
865,M,0.615,0.5,0.17,1.054,0.4845,0.228,0.295,10
866,M,0.645,0.51,0.19,1.4865,0.6445,0.296,0.425,12
867,F,0.68,0.58,0.2,1.787,0.585,0.453,0.6,19
868,M,0.455,0.355,0.135,0.4745,0.1865,0.0935,0.168,13
869,I,0.47,0.35,0.135,0.567,0.2315,0.1465,0.1525,11
870,I,0.25,0.175,0.06,0.0635,0.0275,0.008,0.02,4
871,I,0.44,0.34,0.105,0.369,0.164,0.08,0.1015,5
872,F,0.575,0.435,0.155,0.8975,0.4115,0.2325,0.23,9
873,I,0.43,0.32,0.1,0.3465,0.1635,0.08,0.09,7
874,I,0.22,0.165,0.055,0.0545,0.0215,0.012,0.02,5
875,M,0.375,0.28,0.095,0.2225,0.0875,0.043,0.08,10
876,M,0.535,0.435,0.15,0.717,0.3475,0.1445,0.194,9
877,M,0.385,0.3,0.115,0.3435,0.1645,0.085,0.1025,6
878,M,0.75,0.595,0.205,2.2205,1.083,0.421,0.63,12
879,M,0.625,0.47,0.145,1.7855,0.675,0.247,0.3245,13
880,F,0.53,0.395,0.115,0.5685,0.249,0.1375,0.161,9
881,I,0.485,0.37,0.14,0.5065,0.2425,0.088,0.1465,8
882,I,0.34,0.26,0.085,0.1885,0.0815,0.0335,0.06,6
883,F,0.5,0.4,0.14,0.6615,0.2565,0.1755,0.22,8
884,F,0.78,0.63,0.215,2.657,1.488,0.4985,0.586,11
885,F,0.575,0.45,0.16,0.9775,0.3135,0.231,0.33,12
886,I,0.45,0.35,0.14,0.474,0.21,0.109,0.1275,16
887,F,0.655,0.545,0.185,1.759,0.6865,0.313,0.547,11
888,M,0.71,0.54,0.165,1.959,0.7665,0.261,0.78,18
889,I,0.455,0.35,0.13,0.4725,0.215,0.0745,0.15,9
890,F,0.51,0.39,0.135,0.6335,0.231,0.179,0.2,9
891,M,0.65,0.525,0.19,1.6125,0.777,0.3685,0.3965,11
892,M,0.525,0.405,0.16,0.792,0.316,0.1455,0.28,13
893,F,0.55,0.45,0.15,0.875,0.362,0.1755,0.2765,10
894,I,0.54,0.42,0.14,0.7265,0.3205,0.1445,0.229,9
895,M,0.595,0.475,0.14,0.944,0.3625,0.189,0.315,9
896,M,0.645,0.49,0.175,1.32,0.6525,0.2375,0.3385,11
897,F,0.665,0.555,0.195,1.4385,0.581,0.354,0.36,17
898,M,0.37,0.28,0.105,0.234,0.0905,0.0585,0.075,9
899,M,0.63,0.51,0.23,1.539,0.5635,0.2815,0.57,17
900,F,0.67,0.54,0.165,1.5015,0.518,0.358,0.505,14
901,I,0.245,0.18,0.065,0.071,0.03,0.013,0.0215,4
902,I,0.23,0.175,0.065,0.0645,0.026,0.0105,0.02,5
903,I,0.285,0.215,0.07,0.1075,0.051,0.0225,0.027,6
904,I,0.485,0.375,0.14,0.521,0.2,0.123,0.17,8
905,M,0.58,0.445,0.15,0.9525,0.4315,0.1945,0.287,11
906,M,0.52,0.39,0.12,0.6435,0.2885,0.157,0.161,7
907,F,0.57,0.46,0.17,1.1,0.4125,0.2205,0.38,14
908,F,0.465,0.375,0.135,0.6,0.2225,0.129,0.23,16
909,I,0.37,0.275,0.1,0.2815,0.1505,0.0505,0.068,5
910,F,0.645,0.49,0.215,1.406,0.4265,0.2285,0.51,25
911,I,0.445,0.345,0.12,0.4035,0.169,0.0825,0.13,7
912,M,0.535,0.42,0.15,0.6995,0.2575,0.153,0.24,12
913,M,0.62,0.465,0.19,1.3415,0.5705,0.3175,0.355,11
914,F,0.54,0.415,0.175,0.8975,0.275,0.241,0.275,14
915,F,0.53,0.42,0.17,0.828,0.41,0.208,0.1505,6
916,M,0.575,0.455,0.155,1.013,0.4685,0.2085,0.295,11
917,M,0.375,0.3,0.1,0.2465,0.104,0.0475,0.083,11
918,F,0.635,0.51,0.17,1.2235,0.532,0.271,0.354,9
919,I,0.41,0.325,0.105,0.361,0.1605,0.0665,0.103,8
920,M,0.58,0.46,0.13,0.921,0.357,0.181,0.29,13
921,M,0.595,0.435,0.16,1.057,0.4255,0.224,0.31,9
922,F,0.525,0.4,0.135,0.714,0.318,0.138,0.208,10
923,M,0.5,0.4,0.145,0.6025,0.216,0.138,0.21,11
924,F,0.505,0.38,0.13,0.693,0.391,0.1195,0.1515,8
925,F,0.525,0.41,0.115,0.7745,0.416,0.163,0.18,7
926,I,0.42,0.325,0.125,0.3915,0.1575,0.1025,0.115,9
927,F,0.63,0.475,0.155,1.0005,0.452,0.252,0.265,10
928,I,0.58,0.46,0.14,0.8295,0.3915,0.165,0.238,10
929,F,0.615,0.495,0.16,1.255,0.5815,0.3195,0.3225,12
930,F,0.655,0.54,0.175,1.5585,0.7285,0.402,0.385,11
931,I,0.35,0.265,0.08,0.192,0.081,0.0465,0.053,6
932,M,0.615,0.48,0.19,1.36,0.5305,0.2375,0.47,18
933,M,0.445,0.35,0.115,0.3615,0.1565,0.0695,0.117,8
934,I,0.375,0.29,0.095,0.2875,0.123,0.0605,0.08,6
935,M,0.62,0.48,0.165,1.0855,0.481,0.2575,0.305,10
936,M,0.63,0.49,0.155,1.229,0.535,0.29,0.335,11
937,M,0.65,0.505,0.17,1.5595,0.695,0.3515,0.395,11
938,M,0.675,0.51,0.17,1.527,0.809,0.318,0.341,11
939,I,0.235,0.18,0.06,0.058,0.022,0.0145,0.018,6
940,I,0.485,0.345,0.16,0.869,0.3085,0.185,0.319,9
941,M,0.65,0.545,0.16,1.2425,0.487,0.296,0.48,15
942,I,0.325,0.27,0.1,0.185,0.08,0.0435,0.065,6
943,I,0.55,0.435,0.14,0.7535,0.3285,0.1555,0.2325,10
944,M,0.505,0.4,0.155,0.8415,0.2715,0.1775,0.285,12
945,F,0.6,0.475,0.18,1.162,0.511,0.2675,0.32,18
946,F,0.645,0.5,0.17,1.1845,0.4805,0.274,0.355,13
947,M,0.395,0.295,0.115,0.316,0.1205,0.0595,0.1105,12
948,M,0.69,0.525,0.175,1.7005,0.8255,0.362,0.405,8
949,I,0.44,0.34,0.105,0.344,0.123,0.081,0.125,8
950,F,0.445,0.335,0.14,0.4565,0.1785,0.114,0.14,11
951,F,0.69,0.54,0.155,1.454,0.624,0.3105,0.39,9
952,M,0.41,0.31,0.125,0.3595,0.1415,0.0885,0.115,11
953,M,0.455,0.355,0.13,0.515,0.2,0.1275,0.175,11
954,M,0.55,0.425,0.16,0.793,0.343,0.2035,0.215,9
955,F,0.7,0.55,0.17,1.684,0.7535,0.3265,0.32,11
956,M,0.615,0.495,0.155,1.2865,0.435,0.293,0.3245,11
957,I,0.36,0.27,0.09,0.232,0.12,0.0435,0.056,8
958,M,0.565,0.44,0.175,0.9025,0.31,0.193,0.325,14
959,M,0.64,0.515,0.08,1.042,0.515,0.1755,0.175,10
960,I,0.45,0.33,0.105,0.448,0.208,0.089,0.12,9
961,I,0.525,0.39,0.12,0.664,0.3115,0.147,0.178,9
962,I,0.48,0.37,0.125,0.474,0.179,0.1035,0.175,9
963,M,0.58,0.49,0.13,1.1335,0.586,0.2565,0.237,9
964,F,0.66,0.53,0.185,1.346,0.546,0.2705,0.476,11
965,F,0.47,0.35,0.145,0.5175,0.187,0.1235,0.18,11
966,I,0.39,0.3,0.095,0.3265,0.1665,0.0575,0.089,7
967,F,0.57,0.42,0.16,0.8875,0.4315,0.1915,0.223,8
968,M,0.545,0.42,0.13,0.879,0.374,0.1695,0.23,13
969,I,0.385,0.3,0.09,0.308,0.1525,0.056,0.0835,8
970,M,0.585,0.45,0.15,1.047,0.4315,0.276,0.315,14
971,I,0.475,0.355,0.125,0.4865,0.2155,0.1105,0.142,9
972,F,0.645,0.5,0.155,1.2205,0.6145,0.236,0.3185,10
973,M,0.64,0.525,0.18,1.3135,0.4865,0.2995,0.4075,10
974,M,0.63,0.525,0.195,1.3135,0.4935,0.2565,0.465,10
975,I,0.17,0.13,0.095,0.03,0.013,0.008,0.01,4
976,I,0.39,0.315,0.09,0.3095,0.147,0.05,0.09,7
977,M,0.545,0.45,0.15,0.7805,0.3795,0.1625,0.216,8
978,M,0.695,0.54,0.195,1.691,0.768,0.363,0.4755,11
979,F,0.65,0.495,0.155,1.337,0.615,0.3195,0.335,9
980,M,0.32,0.245,0.075,0.1555,0.0585,0.038,0.049,11
981,I,0.48,0.35,0.135,0.5465,0.2735,0.0995,0.158,8
982,F,0.565,0.48,0.175,0.957,0.3885,0.215,0.275,18
983,M,0.695,0.57,0.2,2.033,0.751,0.4255,0.685,15
984,I,0.6,0.445,0.175,1.057,0.383,0.216,0.355,16
985,F,0.61,0.485,0.21,1.3445,0.535,0.2205,0.515,20
986,M,0.595,0.47,0.175,0.991,0.382,0.2395,0.5,12
987,F,0.67,0.525,0.195,1.37,0.6065,0.2955,0.407,12
988,F,0.37,0.285,0.105,0.27,0.1125,0.0585,0.0835,9
989,I,0.455,0.345,0.11,0.434,0.207,0.0855,0.1215,8
990,I,0.315,0.24,0.085,0.1715,0.071,0.0345,0.0535,7
991,F,0.705,0.55,0.2,1.7095,0.633,0.4115,0.49,13
992,M,0.635,0.495,0.15,1.081,0.4825,0.242,0.31,11
993,I,0.49,0.385,0.12,0.591,0.271,0.1125,0.1775,9
994,F,0.565,0.45,0.175,1.0095,0.447,0.2375,0.2645,9
995,M,0.68,0.52,0.175,1.543,0.7525,0.351,0.374,11
996,I,0.305,0.22,0.07,0.141,0.062,0.031,0.037,5
997,F,0.49,0.38,0.155,0.578,0.2395,0.1255,0.18,9
998,F,0.545,0.44,0.15,0.9475,0.366,0.239,0.275,8
999,F,0.55,0.425,0.125,0.964,0.5475,0.159,0.215,8
1000,I,0.44,0.345,0.1,0.366,0.122,0.0905,0.12,13
1001,M,0.44,0.325,0.08,0.413,0.144,0.1015,0.13,8
1002,F,0.62,0.495,0.17,1.062,0.372,0.213,0.34,11
1003,F,0.525,0.41,0.15,0.708,0.274,0.151,0.25,12
1004,I,0.21,0.15,0.055,0.0455,0.02,0.0065,0.013,4
1005,M,0.595,0.47,0.165,1.108,0.4915,0.2325,0.3345,9
1006,M,0.55,0.405,0.15,0.9235,0.412,0.2135,0.24,7
1007,F,0.325,0.26,0.09,0.1915,0.085,0.036,0.062,7
1008,I,0.46,0.35,0.1,0.471,0.252,0.077,0.123,8
1009,I,0.54,0.43,0.17,0.836,0.3725,0.1815,0.24,9
1010,F,0.47,0.36,0.11,0.4965,0.237,0.127,0.13,6
1011,I,0.605,0.495,0.145,1.054,0.369,0.2255,0.36,12
1012,F,0.615,0.475,0.145,0.9525,0.3915,0.195,0.32,9
1013,F,0.385,0.3,0.1,0.2725,0.1115,0.057,0.08,6
1014,I,0.29,0.21,0.065,0.097,0.0375,0.022,0.03,6
1015,I,0.37,0.29,0.08,0.2545,0.108,0.0565,0.07,6
1016,F,0.675,0.525,0.17,1.711,0.8365,0.352,0.475,9
1017,M,0.33,0.25,0.09,0.197,0.085,0.041,0.0605,10
1018,I,0.175,0.125,0.04,0.028,0.0095,0.008,0.009,4
1019,M,0.64,0.53,0.165,1.1895,0.4765,0.3,0.35,11
1020,M,0.53,0.4,0.125,0.7575,0.398,0.151,0.175,8
1021,M,0.58,0.43,0.125,0.9115,0.446,0.2075,0.121,10
1022,M,0.62,0.48,0.165,1.0725,0.4815,0.235,0.312,9
1023,F,0.605,0.485,0.165,1.0105,0.435,0.209,0.3,19
1024,I,0.465,0.37,0.11,0.445,0.1635,0.096,0.166,7
1025,F,0.635,0.52,0.165,1.3405,0.5065,0.296,0.412,11
1026,M,0.655,0.55,0.18,1.274,0.586,0.281,0.365,10
1027,I,0.455,0.37,0.125,0.433,0.201,0.1265,0.145,9
1028,M,0.625,0.5,0.14,1.096,0.5445,0.2165,0.295,10
1029,I,0.38,0.275,0.095,0.1375,0.086,0.0585,0.0605,7
1030,M,0.645,0.515,0.16,1.1845,0.506,0.311,0.335,9
1031,I,0.355,0.27,0.075,0.1775,0.079,0.0315,0.054,6
1032,M,0.345,0.265,0.09,0.163,0.0615,0.037,0.0485,10
1033,F,0.64,0.5,0.15,1.2015,0.559,0.231,0.3355,9
1034,F,0.415,0.305,0.105,0.3605,0.12,0.082,0.1,10
1035,F,0.63,0.485,0.17,1.3205,0.5945,0.345,0.345,9
1036,M,0.52,0.38,0.135,0.5825,0.2505,0.1565,0.175,8
1037,I,0.26,0.2,0.07,0.092,0.037,0.02,0.03,6
1038,I,0.59,0.45,0.125,0.86,0.437,0.1515,0.245,9
1039,F,0.535,0.405,0.125,0.927,0.26,0.1425,0.345,16
1040,F,0.665,0.515,0.185,1.3405,0.5595,0.293,0.4375,11
1041,F,0.645,0.515,0.15,1.212,0.515,0.2055,0.385,10
1042,M,0.675,0.545,0.185,1.7375,0.876,0.3135,0.469,13
1043,F,0.45,0.345,0.12,0.4165,0.1655,0.095,0.135,9
1044,F,0.585,0.485,0.15,1.079,0.4145,0.2115,0.356,11
1045,I,0.375,0.28,0.085,0.3155,0.187,0.046,0.067,7
1046,M,0.665,0.52,0.175,1.3725,0.606,0.32,0.395,12
1047,F,0.675,0.55,0.175,1.689,0.694,0.371,0.474,13
1048,M,0.555,0.425,0.13,0.7665,0.264,0.168,0.275,13
1049,I,0.52,0.38,0.13,0.5345,0.2375,0.122,0.1535,8
1050,M,0.6,0.495,0.185,1.1145,0.5055,0.2635,0.367,11
1051,M,0.41,0.315,0.095,0.306,0.121,0.0735,0.09,9
1052,F,0.53,0.425,0.13,0.7585,0.325,0.197,0.205,8
1053,F,0.72,0.545,0.185,1.7185,0.7925,0.401,0.468,11
1054,M,0.575,0.44,0.185,1.025,0.5075,0.2245,0.2485,10
1055,I,0.55,0.415,0.135,0.8095,0.2985,0.2015,0.28,12
1056,I,0.55,0.42,0.115,0.668,0.2925,0.137,0.209,11
1057,M,0.505,0.4,0.15,0.775,0.3445,0.157,0.185,7
1058,F,0.53,0.41,0.13,0.6965,0.302,0.1935,0.2,10
1059,I,0.43,0.32,0.1,0.3855,0.192,0.0745,0.1,7
1060,M,0.52,0.4,0.105,0.872,0.4515,0.1615,0.1985,9
1061,I,0.375,0.28,0.1,0.2565,0.1165,0.0585,0.0725,12
1062,I,0.5,0.39,0.13,0.5075,0.2115,0.104,0.1755,9
1063,I,0.51,0.39,0.125,0.597,0.293,0.1265,0.1555,8
1064,F,0.71,0.555,0.17,1.47,0.5375,0.38,0.431,12
1065,M,0.515,0.39,0.155,0.7125,0.3695,0.137,0.155,7
1066,I,0.32,0.215,0.095,0.305,0.14,0.067,0.0885,6
1067,M,0.575,0.45,0.165,0.9655,0.498,0.19,0.23,8
1068,M,0.685,0.52,0.15,1.3735,0.7185,0.293,0.32,11
1069,F,0.67,0.525,0.19,1.527,0.5755,0.353,0.44,12
1070,F,0.545,0.43,0.14,0.832,0.4355,0.17,0.201,9
1071,I,0.445,0.335,0.11,0.411,0.1985,0.0935,0.109,8
1072,I,0.535,0.45,0.17,0.781,0.3055,0.1555,0.295,11
1073,M,0.575,0.45,0.155,0.886,0.3605,0.211,0.2575,9
1074,F,0.62,0.485,0.22,1.511,0.5095,0.284,0.51,17
1075,F,0.5,0.4,0.165,0.7105,0.27,0.1455,0.225,20
1076,M,0.57,0.445,0.15,0.9875,0.504,0.207,0.249,8
1077,F,0.655,0.52,0.175,1.472,0.6275,0.27,0.45,13
1078,M,0.51,0.4,0.14,0.6515,0.2455,0.1665,0.185,10
1079,M,0.5,0.38,0.12,0.5765,0.273,0.135,0.145,9
1080,F,0.525,0.415,0.14,0.724,0.3475,0.173,0.175,8
1081,F,0.64,0.515,0.205,1.5335,0.6635,0.3345,0.4025,9
1082,I,0.57,0.44,0.15,0.755,0.3425,0.16,0.224,8
1083,I,0.465,0.37,0.12,0.4365,0.188,0.0815,0.147,9
1084,F,0.48,0.38,0.145,0.59,0.232,0.141,0.23,12
1085,F,0.635,0.505,0.185,1.3035,0.501,0.295,0.41,17
1086,F,0.67,0.55,0.155,1.566,0.858,0.339,0.354,10
1087,F,0.65,0.475,0.165,1.3875,0.58,0.3485,0.3095,9
1088,I,0.54,0.405,0.15,0.7585,0.307,0.2075,0.19,10
1089,I,0.41,0.3,0.09,0.304,0.129,0.071,0.0955,8
1090,I,0.45,0.335,0.105,0.447,0.2335,0.153,0.119,7
1091,M,0.55,0.425,0.15,0.8315,0.411,0.1765,0.2165,10
1092,I,0.38,0.285,0.085,0.237,0.115,0.0405,0.07,6
1093,F,0.52,0.375,0.135,0.5375,0.221,0.117,0.17,8
1094,M,0.57,0.455,0.175,1.02,0.4805,0.2145,0.29,9
1095,F,0.55,0.465,0.18,1.2125,0.3245,0.205,0.525,27
1096,M,0.6,0.495,0.175,1.29,0.606,0.276,0.3445,11
1097,I,0.41,0.3,0.1,0.282,0.1255,0.057,0.0875,7
1098,I,0.29,0.225,0.075,0.152,0.071,0.059,0.045,9
1099,F,0.605,0.475,0.175,1.382,0.609,0.2325,0.3985,10
1100,M,0.685,0.51,0.18,1.4545,0.6315,0.3105,0.3725,9
1101,I,0.335,0.25,0.095,0.185,0.0795,0.0495,0.055,8
1102,M,0.465,0.36,0.125,0.4365,0.169,0.1075,0.145,11
1103,F,0.615,0.475,0.155,1.004,0.4475,0.193,0.2895,10
1104,F,0.51,0.4,0.13,0.5735,0.219,0.1365,0.195,13
1105,F,0.37,0.275,0.08,0.227,0.093,0.0625,0.07,8
1106,M,0.575,0.455,0.165,0.867,0.3765,0.1805,0.268,8
1107,I,0.555,0.43,0.125,0.7005,0.3395,0.1355,0.2095,8
1108,M,0.235,0.16,0.06,0.0545,0.0265,0.0095,0.015,4
1109,F,0.705,0.53,0.17,1.564,0.612,0.394,0.44,10
1110,M,0.475,0.37,0.11,0.4895,0.2185,0.107,0.146,8
1111,I,0.4,0.31,0.115,0.314,0.1545,0.0595,0.087,6
1112,M,0.575,0.46,0.165,0.9155,0.4005,0.2465,0.2385,8
1113,M,0.515,0.4,0.16,0.8175,0.2515,0.156,0.3,23
1114,I,0.46,0.35,0.12,0.4885,0.193,0.105,0.155,11
1115,F,0.545,0.445,0.15,0.8,0.3535,0.163,0.207,9
1116,I,0.475,0.35,0.115,0.498,0.2375,0.099,0.14,7
1117,I,0.435,0.33,0.095,0.393,0.219,0.075,0.0885,6
1118,F,0.615,0.455,0.135,1.059,0.4735,0.263,0.274,9
1119,F,0.45,0.35,0.125,0.4435,0.185,0.09,0.145,11
1120,M,0.655,0.54,0.215,1.844,0.7425,0.327,0.585,22
1121,I,0.475,0.35,0.1,0.4545,0.2165,0.111,0.115,7
1122,F,0.58,0.455,0.165,1.1365,0.369,0.3005,0.275,13
1123,I,0.425,0.34,0.1,0.3515,0.1625,0.082,0.094,7
1124,M,0.41,0.335,0.115,0.4405,0.19,0.085,0.135,8
1125,I,0.295,0.225,0.08,0.124,0.0485,0.032,0.04,9
1126,I,0.415,0.315,0.09,0.3625,0.175,0.0835,0.093,6
1127,M,0.55,0.41,0.125,0.7605,0.2505,0.1635,0.195,14
1128,M,0.55,0.46,0.175,0.869,0.3155,0.1825,0.32,10
1129,F,0.58,0.48,0.18,1.2495,0.4945,0.27,0.371,8
1130,I,0.355,0.27,0.105,0.271,0.1425,0.0525,0.0735,9
1131,F,0.685,0.535,0.175,1.5845,0.7175,0.3775,0.4215,9
1132,M,0.625,0.47,0.18,1.136,0.451,0.3245,0.305,11
1133,I,0.29,0.215,0.06,0.1115,0.053,0.0185,0.032,5
1134,F,0.62,0.5,0.17,1.148,0.5475,0.22,0.3315,10
1135,M,0.58,0.47,0.165,0.9975,0.3935,0.242,0.33,10
1136,I,0.435,0.325,0.11,0.367,0.1595,0.08,0.105,6
1137,I,0.4,0.31,0.1,0.2875,0.1145,0.0635,0.095,10
1138,I,0.5,0.385,0.11,0.596,0.3015,0.104,0.151,8
1139,I,0.36,0.265,0.09,0.2055,0.096,0.037,0.0585,7
1140,M,0.63,0.48,0.165,1.286,0.604,0.271,0.35,8
1141,M,0.41,0.325,0.1,0.3555,0.146,0.072,0.105,9
1142,I,0.435,0.335,0.1,0.3295,0.129,0.07,0.11,7
1143,M,0.565,0.465,0.175,0.995,0.3895,0.183,0.37,15
1144,F,0.575,0.445,0.14,0.941,0.3845,0.252,0.285,9
1145,F,0.71,0.56,0.18,1.652,0.735,0.381,0.4525,11
1146,I,0.35,0.26,0.095,0.211,0.086,0.056,0.068,7
1147,F,0.67,0.545,0.175,1.707,0.6995,0.387,0.575,13
1148,M,0.45,0.35,0.13,0.4655,0.2075,0.1045,0.135,8
1149,M,0.695,0.515,0.175,1.5165,0.578,0.4105,0.39,15
1150,I,0.55,0.425,0.155,0.8725,0.412,0.187,0.2425,10
1151,F,0.49,0.37,0.105,0.5265,0.249,0.1005,0.148,7
1152,F,0.465,0.35,0.135,0.6265,0.259,0.1445,0.175,8
1153,M,0.65,0.495,0.17,1.276,0.6215,0.2305,0.399,11
1154,I,0.25,0.185,0.065,0.0685,0.0295,0.014,0.0225,5
1155,I,0.535,0.4,0.135,0.6025,0.2895,0.121,0.154,9
1156,F,0.61,0.47,0.16,1.017,0.426,0.2255,0.32,12
1157,M,0.705,0.565,0.515,2.21,1.1075,0.4865,0.512,10
1158,I,0.53,0.395,0.125,0.6235,0.2975,0.108,0.195,11
1159,F,0.58,0.455,0.17,0.9075,0.374,0.2135,0.285,13
1160,M,0.595,0.455,0.195,1.3305,0.4595,0.3235,0.345,19
1161,M,0.59,0.48,0.16,1.262,0.5685,0.2725,0.335,9
1162,I,0.515,0.4,0.14,0.7165,0.3495,0.1595,0.1785,8
1163,I,0.47,0.38,0.125,0.4845,0.211,0.1075,0.142,6
1164,I,0.24,0.18,0.055,0.0555,0.0235,0.013,0.018,4
